season,player1,player2,total,p1_wins,p2_wins,p1_winrate
1,silverrruns,dandannyboy,23,14,9,0.6086956521739131
1,silverrruns,7rowl,4,1,3,0.25
1,silverrruns,doogile,15,5,10,0.3333333333333333
1,silverrruns,Ancoboyy,1,0,1,0.0
1,silverrruns,Ranik_,6,3,3,0.5
1,silverrruns,MoleyG,1,1,0,1.0
1,dandannyboy,lowk3y_,3,1,2,0.3333333333333333
1,dandannyboy,7rowl,1,0,1,0.0
1,dandannyboy,doogile,2,0,2,0.0
1,dandannyboy,Ranik_,11,6,5,0.5454545454545454
1,Oxidiot,7rowl,7,2,5,0.2857142857142857
1,Oxidiot,doogile,2,0,2,0.0
1,Oxidiot,Ancoboyy,1,1,0,1.0
1,Oxidiot,Ranik_,3,2,1,0.6666666666666666
1,Oxidiot,CroProYT,1,0,1,0.0
1,orachi_,MoleyG,2,1,1,0.5
1,lowk3y_,7rowl,3,2,1,0.6666666666666666
1,7rowl,doogile,3,2,1,0.6666666666666666
1,7rowl,Ancoboyy,16,12,4,0.75
1,7rowl,Ranik_,15,13,2,0.8666666666666667
1,doogile,Ancoboyy,3,1,2,0.3333333333333333
1,doogile,Ranik_,4,2,2,0.5
1,Ancoboyy,Ranik_,16,15,1,0.9375
1,Ancoboyy,MoleyG,1,1,0,1.0
1,Ranik_,MoleyG,3,2,1,0.6666666666666666
1,MoleyG,CroProYT,1,0,1,0.0
2,lowk3y_,dandannyboy,3,2,1,0.6666666666666666
2,lowk3y_,7rowl,3,2,1,0.6666666666666666
2,lowk3y_,dwoh,1,1,0,1.0
2,lowk3y_,bing_pigs,11,7,4,0.6363636363636364
2,CroProYT,Oxidiot,1,0,1,0.0
2,dandannyboy,doogile,2,0,2,0.0
2,dandannyboy,7rowl,1,0,1,0.0
2,dandannyboy,dwoh,1,0,1,0.0
2,dandannyboy,silverrruns,23,8,15,0.34782608695652173
2,dandannyboy,bing_pigs,3,1,2,0.3333333333333333
2,dandannyboy,drx6,4,2,2,0.5
2,dandannyboy,Ranik_,11,6,5,0.5454545454545454
2,doogile,7rowl,3,1,2,0.3333333333333333
2,doogile,silverrruns,15,9,6,0.6
2,doogile,bing_pigs,5,3,2,0.6
2,doogile,Ancoboyy,3,1,2,0.3333333333333333
2,doogile,Ranik_,4,2,2,0.5
2,doogile,Oxidiot,2,2,0,1.0
2,7rowl,silverrruns,4,3,1,0.75
2,7rowl,Emillk,1,1,0,1.0
2,7rowl,bing_pigs,15,4,11,0.26666666666666666
2,7rowl,Ancoboyy,16,12,4,0.75
2,7rowl,Ranik_,15,13,2,0.8666666666666667
2,7rowl,Oxidiot,7,5,2,0.7142857142857143
2,dwoh,silverrruns,2,1,1,0.5
2,dwoh,Oxidiot,2,1,1,0.5
2,silverrruns,Emillk,1,0,1,0.0
2,silverrruns,bing_pigs,10,4,6,0.4
2,silverrruns,drx6,2,1,1,0.5
2,silverrruns,Ancoboyy,1,0,1,0.0
2,silverrruns,Ranik_,6,3,3,0.5
2,Emillk,Oxidiot,2,2,0,1.0
2,bing_pigs,drx6,1,1,0,1.0
2,bing_pigs,Ancoboyy,28,15,13,0.5357142857142857
2,bing_pigs,Ranik_,11,7,4,0.6363636363636364
2,bing_pigs,Oxidiot,5,3,2,0.6
2,drx6,Oxidiot,1,1,0,1.0
2,Ancoboyy,Ranik_,16,15,1,0.9375
2,Ancoboyy,Oxidiot,1,0,1,0.0
2,Ranik_,Oxidiot,3,1,2,0.3333333333333333
3,7rowl,Ancoboyy,16,12,4,0.75
3,7rowl,dandannyboy,1,1,0,1.0
3,7rowl,doogile,3,2,1,0.6666666666666666
3,7rowl,hackingnoises,10,4,6,0.4
3,7rowl,lowk3y_,3,1,2,0.3333333333333333
3,7rowl,Oxidiot,7,5,2,0.7142857142857143
3,7rowl,ANJOUU,5,3,2,0.6
3,7rowl,BeefSalad,20,8,12,0.4
3,7rowl,Bloonskiller,1,1,0,1.0
3,7rowl,loodlow,7,1,6,0.14285714285714285
3,7rowl,paplerr,3,0,3,0.0
3,7rowl,v_strid,29,17,12,0.5862068965517241
3,7rowl,autoqualler,1,1,0,1.0
3,Ancoboyy,doogile,3,2,1,0.6666666666666666
3,Ancoboyy,hackingnoises,1,1,0,1.0
3,Ancoboyy,Oxidiot,1,0,1,0.0
3,Ancoboyy,ANJOUU,14,6,8,0.42857142857142855
3,Ancoboyy,BeefSalad,11,7,4,0.6363636363636364
3,Ancoboyy,Bloonskiller,2,1,1,0.5
3,Ancoboyy,loodlow,9,7,2,0.7777777777777778
3,Ancoboyy,v_strid,18,6,12,0.3333333333333333
3,dandannyboy,doogile,2,0,2,0.0
3,dandannyboy,hackingnoises,1,0,1,0.0
3,dandannyboy,lowk3y_,3,1,2,0.3333333333333333
3,dandannyboy,ANJOUU,2,1,1,0.5
3,dandannyboy,BeefSalad,2,1,1,0.5
3,dandannyboy,Bloonskiller,2,1,1,0.5
3,dandannyboy,loodlow,2,0,2,0.0
3,dandannyboy,v_strid,16,5,11,0.3125
3,dandannyboy,autoqualler,9,6,3,0.6666666666666666
3,doogile,Oxidiot,2,2,0,1.0
3,doogile,BeefSalad,12,9,3,0.75
3,doogile,Bloonskiller,3,2,1,0.6666666666666666
3,doogile,loodlow,1,0,1,0.0
3,doogile,v_strid,17,16,1,0.9411764705882353
3,doogile,autoqualler,1,1,0,1.0
3,hackingnoises,lowk3y_,2,0,2,0.0
3,hackingnoises,Oxidiot,9,4,5,0.4444444444444444
3,hackingnoises,ANJOUU,3,1,2,0.3333333333333333
3,hackingnoises,BeefSalad,13,4,9,0.3076923076923077
3,hackingnoises,paplerr,5,4,1,0.8
3,hackingnoises,v_strid,2,2,0,1.0
3,lowk3y_,ANJOUU,2,2,0,1.0
3,lowk3y_,BeefSalad,13,6,7,0.46153846153846156
3,lowk3y_,Bloonskiller,2,0,2,0.0
3,lowk3y_,v_strid,7,6,1,0.8571428571428571
3,Oxidiot,ANJOUU,4,3,1,0.75
3,Oxidiot,BeefSalad,8,4,4,0.5
3,Oxidiot,Bloonskiller,2,2,0,1.0
3,Oxidiot,loodlow,6,3,3,0.5
3,Oxidiot,paplerr,12,4,8,0.3333333333333333
3,Oxidiot,v_strid,12,5,7,0.4166666666666667
3,Oxidiot,autoqualler,1,1,0,1.0
3,ANJOUU,BeefSalad,59,29,30,0.4915254237288136
3,ANJOUU,Bloonskiller,4,2,2,0.5
3,ANJOUU,loodlow,11,7,4,0.6363636363636364
3,ANJOUU,paplerr,10,5,5,0.5
3,ANJOUU,v_strid,67,36,31,0.5373134328358209
3,ANJOUU,autoqualler,1,1,0,1.0
3,BeefSalad,Bloonskiller,8,5,3,0.625
3,BeefSalad,loodlow,13,5,8,0.38461538461538464
3,BeefSalad,paplerr,15,7,8,0.4666666666666667
3,BeefSalad,v_strid,64,42,22,0.65625
3,BeefSalad,autoqualler,2,2,0,1.0
3,Bloonskiller,loodlow,3,2,1,0.6666666666666666
3,Bloonskiller,v_strid,6,1,5,0.16666666666666666
3,Bloonskiller,autoqualler,5,1,4,0.2
3,loodlow,paplerr,8,2,6,0.25
3,loodlow,v_strid,23,13,10,0.5652173913043478
3,loodlow,autoqualler,5,2,3,0.4
3,paplerr,v_strid,6,3,3,0.5
3,paplerr,autoqualler,3,1,2,0.3333333333333333
